sid;owner_name;owner_passportNum;owner_TIN(SSN);owner_email;owner_phone;property_type;property_area(square feet);property_location;property_distanceFromCenter (miles);property_numberBedrooms;property_numberBathrooms;property_pnumParking;property_centralHeating;property_airconditioned;property_basement;property_loft;property_sunExposure;property_requested_sale_rent_price;property_sale_rent_price (USD);commission(%);contract_duration(months);property_dateAnnounceRequest;property_dateofSale;type_business;store_ID;store_name;store_location;store_phonenumber;store_emailAddress
68;Kaia CHAPPELL;711111178;111-11-0067;KaiaCHAPPELL2155@gmail.com;907-488-1486;house;1479;1172 John Kalinas Rd,  NORTH POLE, AK, 99712;14;3;3;2;Y;Y;Y;Y;S;221000;219928;5;NA;15/01/01;19/01/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
71;Olivia BATEMAN;711111181;111-11-0070;OliviaBATEMAN2155@hotmail.com;907-488-1489;house;2223;1175 John Kalinas Rd,  NORTH POLE, AK, 99712;56;3;3;2;Y;Y;Y;N;N;239000;237681;5;NA;15/01/01;07/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
76;Quinn COSGROVE;711111186;111-11-0075;QuinnCOSGROVE2155@gmail.com;907-488-1494;house;988;1180 John Kalinas Rd,  NORTH POLE, AK, 99712;63;2;2;1;Y;Y;Y;N;S;86000;78620;5;NA;16/01/01;10/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
79;Freya O'SULLIVAN;711111189;111-11-0078;FreyaOSULLIVAN2155@gmail.com;907-488-1497;house;1768;1183 John Kalinas Rd,  NORTH POLE, AK, 99712;69;4;2;0;Y;N;Y;Y;W;131500;122923;5;NA;16/01/01;16/01/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
90;Ayla SANGSTER;711111200;111-11-0089;AylaSANGSTER2155@hotmail.com;907-488-1508;house;990;1194 John Kalinas Rd,  NORTH POLE, AK, 99712;1;3;2;0;Y;Y;Y;N;E;118600;111205;5;NA;17/01/01;29/01/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
93;Isla MCQUEEN;711111203;111-11-0092;IslaMCQUEEN2155@hotmail.com;907-488-1511;house;964;1197 John Kalinas Rd,  NORTH POLE, AK, 99712;14;2;2;2;Y;Y;Y;Y;N;158500;149640;5;NA;17/01/01;09/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
94;Eleanor CARRIGAN;711111204;111-11-0093;EleanorCARRIGAN2155@yahoo.com;907-488-1512;house;2291;1198 John Kalinas Rd,  NORTH POLE, AK, 99712;1;4;3;2;Y;N;Y;Y;S;128900;125157;5;NA;17/01/01;12/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
97;Amelia MCROBB;711111207;111-11-0096;AmeliaMCROBB2155@yahoo.com;907-488-1515;house;1588;1201 John Kalinas Rd,  NORTH POLE, AK, 99712;47;3;2;2;Y;Y;Y;N;W;209000;201612;5;NA;17/01/01;02/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
102;Eva HOPKINSON;711111212;111-11-0101;EvaHOPKINSON2155@yahoo.com;907-488-1520;house;1732;1206 John Kalinas Rd,  NORTH POLE, AK, 99712;56;3;3;2;Y;Y;Y;N;N;173000;163392;5;NA;17/01/01;29/01/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
104;Elsie MCLEARY;711111214;111-11-0103;ElsieMCLEARY2155@hotmail.com;907-488-1522;house;1226;1208 John Kalinas Rd,  NORTH POLE, AK, 99712;12;3;2;3;Y;Y;Y;Y;S;193900;185540;5;NA;18/01/01;24/01/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
107;Sienna MACBETH;711111217;111-11-0106;SiennaMACBETH2155@gmail.com;907-488-1525;house;1047;1211 John Kalinas Rd,  NORTH POLE, AK, 99712;66;2;1;1;Y;Y;Y;N;N;97000;87434;5;NA;18/01/01;09/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
112;Paige GRANGER;711111222;111-11-0111;PaigeGRANGER2155@gmail.com;907-488-1530;house;1430;1216 John Kalinas Rd,  NORTH POLE, AK, 99712;60;3;3;2;Y;Y;Y;N;S;177000;167321;5;NA;18/01/01;22/01/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
115;Sarah MACLAREN;711111225;111-11-0114;SarahMACLAREN2155@hotmail.com;907-488-1533;house;2320;1219 John Kalinas Rd,  NORTH POLE, AK, 99712;13;3;4;1;Y;Y;Y;N;W;256500;253121;5;NA;18/01/01;30/01/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
117;Thea SLAVIN;711111227;111-11-0116;TheaSLAVIN2155@yahoo.com;907-488-1535;house;1092;1221 John Kalinas Rd,  NORTH POLE, AK, 99712;11;3;2;1;Y;Y;Y;N;E;136000;126279;5;NA;18/01/01;02/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
121;Rose HOLLIDAY;711111231;111-11-0120;RoseHOLLIDAY2155@gmail.com;907-488-1539;house;988;1225 John Kalinas Rd,  NORTH POLE, AK, 99712;27;1;2;2;Y;Y;Y;N;S;177000;173334;5;NA;19/01/01;07/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
127;Aurora PATE;711111237;111-11-0126;AuroraPATE2155@yahoo.com;907-488-1545;house;958;1231 John Kalinas Rd,  NORTH POLE, AK, 99712;1;2;2;2;Y;Y;Y;N;W;125000;121897;5;NA;19/01/01;12/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
129;Elsie CHEUNG;711111239;111-11-0128;ElsieCHEUNG2155@gmail.com;907-488-1547;house;1348;1233 John Kalinas Rd,  NORTH POLE, AK, 99712;14;3;2;2;Y;Y;Y;Y;N;152000;149592;5;NA;19/01/01;30/01/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
130;Thea MCMICHAEL;711111240;111-11-0129;TheaMCMICHAEL2155@hotmail.com;907-488-1548;house;1053;1234 John Kalinas Rd,  NORTH POLE, AK, 99712;57;3;3;2;Y;Y;Y;N;S;147000;143215;5;NA;19/01/01;31/01/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
140;Aaliyah WISHART;711111250;111-11-0139;AaliyahWISHART2155@hotmail.com;907-488-1558;house;1764;1244 John Kalinas Rd,  NORTH POLE, AK, 99712;39;3;4;2;Y;Y;Y;N;S;228500;221478;5;NA;20/01/01;31/01/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
156;Eliza MILROY;711111266;111-11-0155;ElizaMILROY2155@yahoo.com;907-488-1574;house;1096;1260 John Kalinas Rd,  NORTH POLE, AK, 99712;10;2;1;0;Y;N;Y;N;N;79000;73942;5;NA;22/01/01;31/01/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
157;Thea SOMERVILLE;711111267;111-11-0156;TheaSOMERVILLE2155@hotmail.com;907-488-1575;house;1040;1261 John Kalinas Rd,  NORTH POLE, AK, 99712;68;2;1;2;Y;Y;N;N;S;109500;107816;5;NA;22/01/01;27/01/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
158;Billie ELDER;711111268;111-11-0157;BillieELDER2155@hotmail.com;907-488-1576;house;1968;1262 John Kalinas Rd,  NORTH POLE, AK, 99712;36;4;3;3;Y;Y;Y;Y;S;269500;260016;5;NA;22/01/01;17/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
163;Matilda DEVLIN;711111273;111-11-0162;MatildaDEVLIN2155@yahoo.com;907-488-1581;house;1541;1267 John Kalinas Rd,  NORTH POLE, AK, 99712;70;3;2;2;Y;Y;Y;Y;W;220000;213941;5;NA;22/01/01;08/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
169;Amber HUTCHEON;711111279;111-11-0168;AmberHUTCHEON2155@hotmail.com;907-488-1587;house;1720;1273 John Kalinas Rd,  NORTH POLE, AK, 99712;9;3;3;2;Y;Y;Y;Y;W;183500;178127;5;NA;23/01/01;07/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
170;Maddison RENWICK;711111280;111-11-0169;MaddisonRENWICK2155@hotmail.com;907-488-1588;house;1707;1274 John Kalinas Rd,  NORTH POLE, AK, 99712;34;2;3;2;Y;Y;Y;N;N;228000;225224;5;NA;23/01/01;27/01/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
183;Evie HUDSON;711111293;111-11-0182;EvieHUDSON2155@yahoo.com;907-488-1601;house;1340;1287 John Kalinas Rd,  NORTH POLE, AK, 99712;61;3;1;1;Y;Y;N;Y;N;120000;115376;5;NA;24/01/01;27/01/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
193;Mia GANNON;711111303;111-11-0192;MiaGANNON2155@gmail.com;907-488-1611;house;1431;1297 John Kalinas Rd,  NORTH POLE, AK, 99712;6;3;3;2;Y;Y;Y;Y;S;192000;183808;5;NA;24/01/01;26/01/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
215;Harriet NORRIE;711111325;111-11-0214;HarrietNORRIE2155@gmail.com;907-488-1633;house;1392;1319 John Kalinas Rd,  NORTH POLE, AK, 99712;7;3;2;1;Y;Y;Y;N;N;161750;155094;5;NA;26/01/01;06/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
219;Isabelle BARR;711111329;111-11-0218;IsabelleBARR2155@hotmail.com;907-488-1637;house;1954;1323 John Kalinas Rd,  NORTH POLE, AK, 99712;60;3;3;2;Y;Y;Y;Y;N;311500;305001;5;NA;26/01/01;19/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
229;Heidi BUCKLEY;711111339;111-11-0228;HeidiBUCKLEY2155@hotmail.com;907-488-1647;house;912;1333 John Kalinas Rd,  NORTH POLE, AK, 99712;58;3;1;1;Y;Y;Y;Y;S;125000;122835;5;NA;27/01/01;01/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
230;Grace CROSBY;711111340;111-11-0229;GraceCROSBY2155@gmail.com;907-488-1648;house;1555;1334 John Kalinas Rd,  NORTH POLE, AK, 99712;5;2;2;2;Y;Y;Y;N;S;192500;186930;5;NA;27/01/01;15/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
231;Evelyn VAUGHAN;711111341;111-11-0230;EvelynVAUGHAN2155@yahoo.com;907-488-1649;house;1194;1335 John Kalinas Rd,  NORTH POLE, AK, 99712;8;3;2;1;Y;Y;Y;N;E;148000;140872;5;NA;27/01/01;19/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
237;Frankie BRANNAN;711111347;111-11-0236;FrankieBRANNAN2155@yahoo.com;907-488-1655;house;1414;1341 John Kalinas Rd,  NORTH POLE, AK, 99712;2;3;2;2;Y;Y;Y;N;N;185500;183723;5;NA;27/01/01;16/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
257;Grace WILL;711111367;111-11-0256;GraceWILL2155@yahoo.com;907-488-1675;house;1728;1361 John Kalinas Rd,  NORTH POLE, AK, 99712;32;3;3;2;Y;Y;Y;N;S;207500;199567;5;NA;30/01/01;27/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
258;Evelyn BALLARD;711111368;111-11-0257;EvelynBALLARD2155@gmail.com;907-488-1676;house;1604;1362 John Kalinas Rd,  NORTH POLE, AK, 99712;9;3;4;2;Y;Y;Y;Y;E;220000;213494;5;NA;30/01/01;07/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
261;Heidi BALD;711111371;111-11-0260;HeidiBALD2155@hotmail.com;907-488-1679;house;1382;1365 John Kalinas Rd,  NORTH POLE, AK, 99712;70;3;2;2;Y;Y;Y;N;E;176000;167870;5;NA;30/01/01;10/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
269;Chloe MCTAVISH;711111379;111-11-0268;ChloeMCTAVISH2155@yahoo.com;907-488-1687;house;778;1373 John Kalinas Rd,  NORTH POLE, AK, 99712;22;2;1;1;Y;Y;Y;Y;N;120500;112737;5;NA;31/01/01;19/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
271;Lilly DONACHIE;711111381;111-11-0270;LillyDONACHIE2155@hotmail.com;907-488-1689;house;1939;1375 John Kalinas Rd,  NORTH POLE, AK, 99712;46;3;3;3;Y;Y;Y;N;W;266000;257558;5;NA;31/01/01;02/03/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
280;Mackenzie LAMBIE;711111390;111-11-0279;MackenzieLAMBIE2155@hotmail.com;907-488-1698;house;2022;1384 John Kalinas Rd,  NORTH POLE, AK, 99712;53;4;3;2;Y;Y;Y;N;W;192000;183881;5;NA;31/01/01;24/02/01;sale;1;North Pole;71 ST. NICHOLAS DRIVE, NORTH POLE, FAIRBANKS NORTH STAR, AK, 99705;907-488-4800;northpole@realstateUSA.com
281;Sophia ARMITAGE;711111391;111-11-0280;SophiaARMITAGE2155@gmail.com;907-488-1699;house;1982;1385 John Kalinas Rd,  NORTH POLE, AK, 99712;36;3;3;2;Y;Y;Y;N;N;228500;220090;5;NA;08/01/01;05/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
295;Madison GILMORE;711111405;111-11-0294;MadisonGILMORE2155@hotmail.com;907-488-1713;house;1644;440 E Street, Anchorage, AK, 99501;5;3;2;2;Y;Y;Y;N;W;167000;165771;5;NA;10/01/01;22/01/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
303;Hazel MCLEISH;711111413;111-11-0302;HazelMCLEISH2155@gmail.com;907-488-1721;house;1541;448 E Street, Anchorage, AK, 99501;14;3;2;3;Y;Y;Y;Y;E;205000;201870;5;NA;11/01/01;30/01/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
304;Victoria LUKE;711111414;111-11-0303;VictoriaLUKE2155@yahoo.com;907-488-1722;house;894;449 E Street, Anchorage, AK, 99501;12;3;2;2;Y;Y;Y;Y;W;149900;140868;5;NA;11/01/01;09/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
306;Ella GOUGH;711111416;111-11-0305;EllaGOUGH2155@yahoo.com;907-488-1724;house;2000;451 E Street, Anchorage, AK, 99501;2;3;3;3;Y;Y;Y;N;E;305900;303070;5;NA;11/01/01;10/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
308;Athena MCEWAN;711111418;111-11-0307;AthenaMCEWAN2155@gmail.com;907-488-1726;house;1406;453 E Street, Anchorage, AK, 99501;8;3;1;0;Y;Y;Y;Y;N;89500;86607;5;NA;11/01/01;19/01/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
309;Alexis MARCH;711111419;111-11-0308;AlexisMARCH2155@gmail.com;907-488-1727;house;861;454 E Street, Anchorage, AK, 99501;23;1;1;2;Y;Y;Y;Y;N;82500;80842;5;NA;11/01/01;31/01/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
324;Cora WATTS;711111434;111-11-0323;CoraWATTS2155@gmail.com;907-488-1742;house;1163;469 E Street, Anchorage, AK, 99501;11;3;2;1;Y;Y;Y;Y;E;126175;125368;5;NA;13/01/01;20/01/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
325;Jessica MCKERNAN;711111435;111-11-0324;JessicaMCKERNAN2155@yahoo.com;907-488-1743;house;2978;470 E Street, Anchorage, AK, 99501;44;5;3;2;Y;Y;Y;N;W;242000;237865;5;NA;13/01/01;30/01/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
332;Sadie FERNS;711111442;111-11-0331;SadieFERNS2155@gmail.com;907-488-1750;house;1056;477 E Street, Anchorage, AK, 99501;22;3;2;1;Y;Y;Y;N;N;139000;138636;5;NA;13/01/01;29/01/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
333;Isla MARKS;711111443;111-11-0332;IslaMARKS2155@yahoo.com;907-488-1751;house;1629;478 E Street, Anchorage, AK, 99501;51;3;3;3;Y;Y;Y;Y;E;284000;283462;5;NA;13/01/01;15/01/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
340;Sarah PERRY;711111450;111-11-0339;SarahPERRY2155@hotmail.com;907-488-1758;house;1215;485 E Street, Anchorage, AK, 99501;26;3;1;1;Y;Y;Y;N;W;155000;153330;5;NA;15/01/01;16/01/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
341;Poppy MCCARTHY;711111451;111-11-0340;PoppyMCCARTHY2155@yahoo.com;907-488-1759;house;1908;486 E Street, Anchorage, AK, 99501;55;4;3;2;Y;Y;Y;N;N;202900;201576;5;NA;15/01/01;22/01/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
344;Eliza SALEEM;711111454;111-11-0343;ElizaSALEEM2155@gmail.com;907-488-1762;house;1684;489 E Street, Anchorage, AK, 99501;25;2;2;2;Y;Y;Y;Y;N;266000;258935;5;NA;15/01/01;15/01/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
349;Violet MACNAUGHTON;711111459;111-11-0348;VioletMACNAUGHTON2155@hotmail.com;907-488-1767;house;1626;494 E Street, Anchorage, AK, 99501;28;2;4;2;Y;Y;Y;Y;W;154000;144510;5;NA;15/01/01;12/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
355;Cora POTTER;711111465;111-11-0354;CoraPOTTER2155@hotmail.com;907-488-1773;house;1595;500 E Street, Anchorage, AK, 99501;14;2;1;1;Y;Y;Y;N;S;140000;133269;5;NA;16/01/01;19/01/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
365;Willow DENT;711111475;111-11-0364;WillowDENT2155@yahoo.com;907-488-1783;house;1574;510 E Street, Anchorage, AK, 99501;38;3;4;2;Y;Y;Y;N;S;190000;180277;5;NA;16/01/01;29/01/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
371;Bella GLOVER;711111481;111-11-0370;BellaGLOVER2155@gmail.com;907-488-1789;house;1664;516 E Street, Anchorage, AK, 99501;64;3;3;2;Y;Y;Y;N;N;172400;167724;5;NA;17/01/01;13/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
388;Emily CORR;711111498;111-11-0387;EmilyCORR2155@hotmail.com;907-488-1806;house;1125;533 E Street, Anchorage, AK, 99501;1;3;2;1;Y;Y;Y;Y;W;125000;120471;5;NA;18/01/01;12/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
391;Anna GOWANS;711111501;111-11-0390;AnnaGOWANS2155@yahoo.com;907-488-1809;house;1367;536 E Street, Anchorage, AK, 99501;1;4;2;1;Y;Y;Y;N;S;119000;116010;5;NA;18/01/01;01/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
